timestamp,tx,ty,tz,qx,qy,qz,qw
0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.999849,0.017381
0.016667,-0.000579,-0.016657,-0.000000,-0.000000,-0.000001,0.999852,0.017230
0.033333,-0.001159,-0.033313,-0.000000,-0.000000,-0.000013,0.999886,0.015114
0.050000,-0.001738,-0.049970,-0.000000,-0.000000,-0.000021,0.999909,0.013527
0.066667,-0.002317,-0.066626,-0.000000,-0.000000,-0.000028,0.999924,0.012292
0.083333,-0.002896,-0.083283,-0.000000,-0.000000,-0.000033,0.999936,0.011304
0.100000,-0.003445,-0.099940,-0.000000,-0.000000,-0.000042,0.999952,0.009808
0.116667,-0.003526,-0.116607,-0.000003,-0.000000,-0.000050,0.999965,0.008311
0.133333,-0.003606,-0.133273,-0.000006,-1.000000,-0.000000,-0.000000,-0.000000
0.150000,-0.003687,-0.149940,-0.000008,-1.000000,-0.000000,-0.000000,-0.000000
0.166667,-0.003767,-0.166606,-0.000011,-1.000000,-0.000000,-0.000000,-0.000000
0.183333,-0.003848,-0.183273,-0.000014,-1.000000,-0.000000,-0.000000,-0.000000
0.200000,-0.003928,-0.199939,-0.000017,-1.000000,-0.000000,-0.000000,-0.000000
0.216667,-0.003969,-0.216606,0.000013,-1.000000,-0.000000,-0.000000,-0.000000
0.233333,-0.003993,-0.233272,0.000057,-1.000000,-0.000000,-0.000000,-0.000000
0.250000,-0.004017,-0.249939,0.000100,-1.000000,-0.000000,-0.000000,-0.000000
0.266667,-0.004041,-0.266605,0.000143,-1.000000,-0.000000,-0.000000,-0.000000
0.283333,-0.004065,-0.283272,0.000187,-1.000000,-0.000000,-0.000000,-0.000000
0.300000,-0.004090,-0.299939,0.000230,-1.000000,-0.000000,-0.000000,-0.000000
0.316667,-0.004104,-0.316605,0.000258,-1.000000,-0.000000,-0.000000,-0.000000
0.333333,-0.004101,-0.333272,0.000260,-1.000000,-0.000000,-0.000000,-0.000000
0.350000,-0.004098,-0.349938,0.000262,-1.000000,-0.000000,-0.000000,-0.000000
0.366667,-0.004095,-0.366605,0.000264,-1.000000,-0.000000,-0.000000,-0.000000
0.383333,-0.004092,-0.383272,0.000266,-1.000000,-0.000000,-0.000000,-0.000000
0.400000,-0.004089,-0.399938,0.000268,-1.000000,-0.000000,-0.000000,-0.000000
0.416667,-0.004086,-0.416605,0.000270,-1.000000,-0.000000,-0.000000,-0.000000
0.433333,-0.004067,-0.433272,0.000269,-1.000000,-0.000000,-0.000000,-0.000000
0.450000,-0.004048,-0.449938,0.000269,-1.000000,-0.000000,-0.000000,-0.000000
0.466667,-0.004029,-0.466605,0.000268,-1.000000,-0.000000,-0.000000,-0.000000
0.483333,-0.004010,-0.483272,0.000267,-1.000000,-0.000000,-0.000000,-0.000000
0.500000,-0.003991,-0.499938,0.000267,-1.000000,-0.000000,-0.000000,-0.000000
0.516667,-0.003972,-0.516605,0.000266,-1.000000,-0.000000,-0.000000,-0.000000
0.533333,-0.003946,-0.533272,0.000265,-1.000000,-0.000000,-0.000000,-0.000000
0.550000,-0.003917,-0.549938,0.000264,-1.000000,-0.000000,-0.000000,-0.000000
0.566667,-0.003887,-0.566605,0.000263,-1.000000,-0.000000,-0.000000,-0.000000
0.583333,-0.003858,-0.583272,0.000262,-1.000000,-0.000000,-0.000000,-0.000000
0.600000,-0.003829,-0.599938,0.000260,-1.000000,-0.000000,-0.000000,-0.000000
0.616667,-0.003800,-0.616605,0.000259,-1.000000,-0.000000,-0.000000,-0.000000
0.633333,-0.003768,-0.633272,0.000258,-1.000000,-0.000000,-0.000000,-0.000000
0.650000,-0.003731,-0.649938,0.000256,-1.000000,-0.000000,-0.000000,-0.000000
0.666667,-0.003695,-0.666605,0.000254,-1.000000,-0.000000,-0.000000,-0.000000
0.683333,-0.003658,-0.683271,0.000253,-1.000000,-0.000000,-0.000000,-0.000000
0.700000,-0.003622,-0.699938,0.000251,-1.000000,-0.000000,-0.000000,-0.000000
0.716667,-0.003585,-0.716605,0.000249,-1.000000,-0.000000,-0.000000,-0.000000
0.733333,-0.003548,-0.733271,0.000247,-1.000000,-0.000000,-0.000000,-0.000000
0.750000,-0.003507,-0.749938,0.000245,-1.000000,-0.000000,-0.000000,-0.000000
0.766667,-0.003466,-0.766605,0.000243,-1.000000,-0.000000,-0.000000,-0.000000
0.783333,-0.003425,-0.783271,0.000241,-1.000000,-0.000000,-0.000000,-0.000000
0.800000,-0.003384,-0.799938,0.000239,-1.000000,-0.000000,-0.000000,-0.000000
0.816667,-0.003342,-0.816604,0.000237,-1.000000,-0.000000,-0.000000,-0.000000
0.833333,-0.003301,-0.833271,0.000234,-1.000000,-0.000000,-0.000000,-0.000000
0.850000,-0.003258,-0.849938,0.000232,-1.000000,-0.000000,-0.000000,-0.000000
0.866667,-0.003214,-0.866604,0.000230,-1.000000,-0.000000,-0.000000,-0.000000
0.883333,-0.003169,-0.883271,0.000227,-1.000000,-0.000000,-0.000000,-0.000000
0.900000,-0.003125,-0.899937,0.000225,-1.000000,-0.000000,-0.000000,-0.000000
0.916667,-0.003081,-0.916604,0.000223,-1.000000,-0.000000,-0.000000,-0.000000
0.933333,-0.003036,-0.933271,0.000220,-1.000000,-0.000000,-0.000000,-0.000000
0.950000,-0.002991,-0.949937,0.000218,-1.000000,-0.000000,-0.000000,-0.000000
0.966667,-0.002945,-0.966604,0.000215,-1.000000,-0.000000,-0.000000,-0.000000
0.983333,-0.002899,-0.983270,0.000212,-1.000000,-0.000000,-0.000000,-0.000000
1.000000,-0.002852,-0.999937,0.000210,-1.000000,-0.000000,-0.000000,-0.000000
1.016667,-0.002806,-1.016604,0.000207,-1.000000,-0.000000,-0.000000,-0.000000
1.033333,-0.002759,-1.033270,0.000204,-1.000000,-0.000000,-0.000000,-0.000000
1.050000,-0.002713,-1.049937,0.000202,-1.000000,-0.000000,-0.000000,-0.000000
1.066667,-0.002666,-1.066603,0.000199,-1.000000,-0.000000,-0.000000,-0.000000
1.083333,-0.002619,-1.083270,0.000196,-1.000000,-0.000000,-0.000000,-0.000000
1.100000,-0.002571,-1.099937,0.000193,-1.000000,-0.000000,-0.000000,-0.000000
