x,y
4.280938312380901607e+02,1.876260223755890024e+02
4.448601402193588683e+02,1.887962083826340347e+02
4.616930615490127821e+02,1.887728987175102304e+02
4.784130740523382883e+02,1.873478044100520492e+02
4.948407627669614612e+02,1.843129196541032968e+02
5.108904694640830257e+02,1.797101957811158570e+02
5.267422770264691962e+02,1.742900547044344819e+02
5.426177240447711938e+02,1.689088720358620606e+02
5.585869810562697921e+02,1.638890533710596742e+02
5.745504344508293570e+02,1.589540691808872452e+02
5.904000448568519914e+02,1.537968440434095214e+02
6.061106119378217727e+02,1.482838333250761593e+02
6.218255491745295558e+02,1.426347037572580234e+02
6.377087666907107177e+02,1.371120583344756767e+02
6.538975248184401607e+02,1.320550260704358436e+02
6.703354731206791257e+02,1.283586976021330486e+02
6.868807771670751663e+02,1.271636345059802977e+02
7.033454401029931660e+02,1.293267857223678448e+02
7.193599998929888670e+02,1.345767698924464355e+02
7.345003132683664262e+02,1.423814909645551836e+02
7.482271997073007697e+02,1.524308805449510942e+02
7.599263415337875358e+02,1.645598887092213261e+02
7.690539324683846871e+02,1.785643671850882868e+02
7.754545380564719608e+02,1.940151876237838451e+02
7.791034258073957517e+02,2.104075072812846372e+02
7.799759617041603406e+02,2.272364263687208279e+02
7.780475117297702354e+02,2.439970450972224114e+02
7.733038241041804213e+02,2.601817729710076037e+02
7.658175335775157464e+02,2.752605015929591445e+02
7.557082509224101159e+02,2.886944290510549536e+02
7.432631664736920811e+02,3.000599244930064629e+02
7.290021259501821760e+02,3.090936699437397692e+02
7.134621728732432757e+02,3.155441976985680412e+02
6.971803178253175020e+02,3.191601517874769343e+02
6.806064141376259613e+02,3.199858291233111913e+02
6.639139527966297010e+02,3.190029967983720098e+02
6.472161623529859753e+02,3.173260953016836083e+02
6.305571306169412082e+02,3.154204384814838704e+02
6.139344237543034524e+02,3.133145725349785948e+02
5.973447418235498390e+02,3.110289122257508438e+02
5.807847848831585225e+02,3.085838723173835660e+02
5.642512529916068615e+02,3.059998675734601079e+02
5.477408462073726696e+02,3.032973127575635885e+02
5.312502645889337600e+02,3.004966226332772976e+02
5.147762081947679462e+02,2.976182119641842974e+02
4.983153770833526437e+02,2.946824955138677637e+02
4.818644713131656658e+02,2.917098880459108159e+02
4.654201909426849397e+02,2.887208043238967434e+02
4.489792360303877672e+02,2.857356591114085518e+02
4.325383171041247010e+02,2.827747442976879029e+02
4.160947836980641910e+02,2.798508520405829927e+02
3.996469820922904432e+02,2.769650761368835106e+02
3.831933450474075471e+02,2.741174954001950255e+02
3.667323053240191371e+02,2.713081886441232200e+02
3.502622956827290750e+02,2.685372346822735494e+02
3.337817488841411659e+02,2.658047123282515827e+02
3.172890976888594423e+02,2.631107003956631161e+02
3.007827748574877660e+02,2.604552776981134912e+02
2.842612131506296578e+02,2.578385230492083338e+02
2.677228453288892638e+02,2.552605152625532128e+02
2.511661041528704743e+02,2.527213331517538677e+02
2.345894223831768386e+02,2.502210555304155264e+02
2.179912327804125596e+02,2.477597612121441841e+02
2.013699681051811865e+02,2.453375290105450972e+02
1.847241654458763946e+02,2.429567635924304057e+02
1.680601019389124815e+02,2.407924239897566565e+02
1.513969906508812358e+02,2.393078590756443873e+02
1.347552748755962853e+02,2.389938440488193407e+02
1.181553979068710589e+02,2.403411541080070322e+02
1.016456444381350366e+02,2.438281401432658697e+02
8.567021907807483672e+01,2.497564725866820652e+02
7.096786904962347364e+01,2.582963813391336316e+02
5.827780844566571972e+01,2.695926850417239962e+02
4.820503769824769336e+01,2.833329893405091298e+02
4.122878888495815630e+01,2.987764567136565006e+02
3.781192103247623493e+01,3.151690237300638842e+02
3.784781836821913004e+01,3.319195336809099217e+02
4.041093683463358133e+01,3.486710964532974231e+02
4.451807028148082424e+01,3.650878574259442644e+02
4.954408796409989435e+01,3.810106446516113579e+02
5.542386943990764081e+01,3.965566081982588003e+02
6.214105557627268439e+01,4.118669580902074472e+02
6.968377504919121179e+01,4.270730680213718529e+02
7.821001518061413549e+01,4.419340173427566469e+02
8.809578802381628293e+01,4.557310211575418180e+02
9.973141524634709754e+01,4.677139309111224748e+02
1.134231271474735365e+02,4.771775224069102705e+02
1.288164614610414560e+02,4.837695350158731458e+02
1.452447632225157292e+02,4.873044916545359229e+02
1.620395257945923504e+02,4.875979044635507762e+02
1.785322427282789022e+02,4.844652862509093438e+02
1.941089344850597911e+02,4.779153825220464000e+02
2.083639173730944094e+02,4.686950984904595998e+02
2.210427093131011986e+02,4.577040013020783249e+02
2.325933650756605857e+02,4.456784509483585452e+02
2.437611826377051614e+02,4.332857545050179624e+02
2.551855069228114132e+02,4.210990885731641242e+02
2.668986169312595393e+02,4.091590606703886692e+02
2.787189949801425541e+02,3.973187179534486404e+02
2.904653005363837792e+02,3.854311960663849277e+02
3.020624839773402641e+02,3.734257741855565769e+02
3.136822300604284237e+02,3.614084843927710153e+02
3.255311465085567875e+02,3.495103774063105675e+02
3.378449754664002285e+02,3.379850146874504162e+02
3.509688430380981004e+02,3.275459191222252002e+02
3.652735394858091240e+02,3.190145377173251404e+02
3.809585881590418239e+02,3.130194979190507638e+02
3.975838481950088408e+02,3.094692660503228012e+02
4.145598705782736602e+02,3.081042109778115901e+02
4.313161621196504143e+02,3.086602608305978492e+02
4.476948539749330962e+02,3.107766791864610809e+02
4.639381267450581845e+02,3.139990109645902976e+02
4.802698463222675400e+02,3.179137946305097557e+02
4.965970082035758537e+02,3.225164339086106793e+02
5.126571527270276647e+02,3.280209844657888993e+02
5.281862204170993209e+02,3.346435662456874525e+02
5.429201517982673977e+02,3.426002991919496594e+02
5.565948873950080724e+02,3.521073032482183862e+02
5.689457940199263248e+02,3.633799098377658652e+02
5.795918215359857868e+02,3.764734447419751291e+02
5.878946913250830448e+02,3.910896940871148786e+02
5.932022659229127157e+02,4.068821031960477512e+02
5.955750199329717134e+02,4.234682314699250583e+02
5.959519149889539449e+02,4.404213992095305343e+02
5.952886274407215978e+02,4.573253492146811823e+02
5.938504189860112774e+02,4.740061113300864690e+02
5.912958098121943067e+02,4.905026390501867013e+02
5.872608992771517933e+02,5.068562745133065164e+02
5.812277674695437781e+02,5.226848040003962979e+02
5.724071007388006365e+02,5.368596759576232671e+02
5.602351027053775852e+02,5.483127230916686585e+02
5.455259185064910525e+02,5.567180624783321718e+02
5.295408465621212599e+02,5.620187176595834444e+02
5.130366237020111839e+02,5.646147869547673963e+02
4.962303470375543384e+02,5.653946459734434029e+02
4.793127455109255948e+02,5.652705287955085396e+02
4.624592063897971457e+02,5.650877149639941308e+02
4.457070428154301567e+02,5.650888973104434854e+02
4.290205008827554138e+02,5.651978875529763400e+02
4.123631613796990223e+02,5.653355938594903591e+02
3.956988371620382168e+02,5.654235050527637441e+02
3.790068670172551037e+02,5.654219572494935164e+02
3.622916241906756341e+02,5.653539250579295867e+02
3.455597528385915211e+02,5.652480651122012887e+02
3.288178971172941942e+02,5.651330340464378423e+02
3.120727011830753099e+02,5.650374884947685814e+02
2.953308091922266385e+02,5.649900850913228396e+02
2.785988653010396092e+02,5.650194804702298370e+02
2.618835136658058786e+02,5.651543312656187936e+02
2.451913984428170465e+02,5.654232941116190432e+02
2.285226188169006889e+02,5.658000167489078649e+02
2.118455880604761035e+02,5.659918345302173748e+02
1.951191436963237322e+02,5.656256009613396145e+02
1.783021212090135634e+02,5.643281524174014976e+02
