x,y,z
-805.3471,134.3274,-462.7003
-800.6322,139.3553,-477.8535
-795.7508,144.4991,-493.2092
-790.7054,149.7599,-508.7695
-785.4985,155.1387,-524.5364
-780.1326,160.6364,-540.512
-774.6104,166.2542,-556.6982
-768.9341,171.9931,-573.0975
-763.1065,177.8541,-589.7115
-757.13,183.8382,-606.5427
-751.0071,189.9465,-623.593
-744.7405,196.1799,-640.8641
-738.3324,202.5396,-658.3588
-731.7856,209.0266,-676.0787
-725.1025,215.6418,-694.0261
-718.2856,222.3864,-712.203
-711.3375,229.2613,-730.6115
-704.2607,236.2676,-749.2535
-697.0577,243.4063,-768.1313
-689.7311,250.6784,-787.2469
-682.2833,258.0851,-806.6024
-674.7169,265.6272,-826.1998
-667.0344,273.3058,-846.0411
-659.2382,281.122,-866.1286
-651.3311,289.0768,-886.4644
-643.3152,297.1714,-907.0507
-635.1933,305.4055,-927.8873
-626.9665,313.7776,-948.9717
-618.6369,322.2848,-970.2994
-610.2057,330.9251,-991.8665
-601.6745,339.6963,-1013.67
-593.045,348.5956,-1035.705
-584.3185,357.6212,-1057.968
-575.4968,366.7701,-1080.455
-566.5813,376.0406,-1103.163
-557.5738,385.4299,-1126.087
-548.4755,394.936,-1149.223
-539.2884,404.5562,-1172.568
-530.0135,414.2885,-1196.118
-520.653,424.1302,-1219.868
-511.208,434.079,-1243.815
-501.6801,444.133,-1267.956
-492.0711,454.2894,-1292.285
-482.3822,464.5461,-1316.801
-472.6154,474.9005,-1341.497
-462.7717,485.3506,-1366.371
-452.8533,495.8937,-1391.418
-442.8612,506.5279,-1416.635
-432.7974,517.2502,-1442.018
-422.6631,528.0589,-1467.563
-412.4602,538.9511,-1493.266
-402.19,549.9247,-1519.123
-391.854,560.9778,-1545.131
-381.4541,572.1073,-1571.284
-370.9913,583.3115,-1597.581
-360.4679,594.5873,-1624.016
-349.8848,605.9333,-1650.586
-339.244,617.3463,-1677.287
-328.5466,628.8246,-1704.115
-317.7948,640.3652,-1731.066
-306.9895,651.9666,-1758.136
-296.1328,663.6255,-1785.321
-285.2258,675.3403,-1812.619
-274.2704,687.1082,-1840.023
-263.2682,698.927,-1867.531
-252.2203,710.7947,-1895.139
-241.1287,722.7084,-1922.843
